Time,Velocity
0,1
1,1
2,4
3,7
4,16
5,27
6,38
7,48
8,62
9,75
10,90
11,104
12,118
13,133
14,148
15,163
16,178
17,194
19,226
20,242
21,259
22,276
23,293
24,311
25,328
26,347
27,366
28,385
29,404
30,423
31,443
32,462
33,483
34,503
35,525
36,546
37,567
38,590
39,613
40,636
41,658
42,682
43,706
44,730
45,756
46,781
47,806
48,833
49,860
50,888
51,916
52,943
53,970
54,994
55,1017
56,1039
57,1058
58,1074
59,1092
60,1108
61,1126
62,1148
63,1176
64,1207
65,1239
66,1271
67,1305
68,1341
69,1375
70,1410
71,1446
72,1484
73,1523
74,1560
75,1598
76,1637
77,1675
78,1715
79,1756
80,1798
81,1841
82,1884
83,1930
84,1975
85,2019
86,2065
87,2113
88,2161
89,2210
90,2260
91,2311
92,2364
93,2417
94,2471
95,2526
96,2583
97,2639
98,2699
99,2758
100,2819
101,2878
102,2939
103,2999
104,3064
105,3126
106,3189
107,3253
108,3316
109,3382
110,3447
111,3515
112,3586
113,3656
114,3727
115,3800
116,3872
117,3948
118,4029
119,4107
120,4184
121,4264
122,4345
123,4422
124,4506
125,4590
126,4675
127,4762
128,4850
129,4939
131,5117
132,5207
133,5299
134,5392
135,5488
136,5583
137,5679
138,5780
139,5877
140,5972
141,6077
142,6178
143,6282
144,6393
145,6501
146,6612
147,6724
148,6838
149,6952
150,7069
